id,created_at,text
965390887567151104,2018-02-19 01:01:38,"b'Chronique Hebdomadaire des March\xc3\xa9s Africains - 16 Fevrier, 2018 https://t.co/MMGVrLPch0'"
965380126274981890,2018-02-19 00:18:52,"b'Chronique Hebdomadaire des March\xc3\xa9s Africains - 16 Fevrier, 2018 https://t.co/Vf2k70DKHA'"
965348226315538432,2018-02-18 22:12:07,"b'AM Weekly Market Commentary - February 16, 2018 https://t.co/4Ita08XB3L'"
964590042877280256,2018-02-16 19:59:22,b'3 companies risk delisting from #Ghana Stock Exchange by May https://t.co/Wf6mpcQiav'
964572057173483520,2018-02-16 18:47:53,"b""#Nigeria's $2.5bn #Eurobond attracts over 7.143% rates https://t.co/4V7ljmlnFC"""
964454192239841282,2018-02-16 10:59:32,b'#Egypt returns to international #bond markets with USD 4 billion #Eurobond issue https://t.co/qaV4Ga1CFG'
964245863882219520,2018-02-15 21:11:43,"b""#Nigeria's inflation dips to 15.13% https://t.co/vrVRJPXrz2"""
964238412713689090,2018-02-15 20:42:06,"b'South African stocks in demand after Zuma quits, rand soars https://t.co/b4b1HdaD1f'"
964238410901843969,2018-02-15 20:42:06,b'Central Bank of #Egypt cuts interest rates by 100 bps as inflation eases https://t.co/lTPG5iNBVU'
964185935238914049,2018-02-15 17:13:35,"b""Moody's downgrades the ratings of three Kenyan banks, concluding their review https://t.co/w0RychUASo"""
964185933401731072,2018-02-15 17:13:34,"b""Moody's downgrades Government of #Kenya's issuer rating to B2 and assigns stable outlook https://t.co/wXoOGIsjY8"""
964179703262302208,2018-02-15 16:48:49,b'#Rwanda: RNIT Iterambere Fund grows to Rwf1.47bn in January https://t.co/ZwaaGxi3bl'
964100915421736967,2018-02-15 11:35:45,b'#MTN se pr\xc3\xa9pare a introduire 35% de son capital \xc3\xa0 la #bourse du #Ghana https://t.co/tpIy2pZi4w'
963875856287457282,2018-02-14 20:41:26,b'#Kenya: Unga share rallies to Sh39 after foreign buyout offer https://t.co/TQ4rv801hG'
963875854425214981,2018-02-14 20:41:26,"b'#MTN #Ghana prepares for #Ghana Stock Exchange listing, #IPO by end of Q1 https://t.co/oNZwqkQGSZ'"
963868461935054848,2018-02-14 20:12:03,b'Nigerian Stock Exchange approves delisting of 7-Up after buyout by majority shareholders https://t.co/g9XuWqET07'
963868458999042048,2018-02-14 20:12:03,"b""#Namibia's central bank maintains rate, sees lower inflation in 2018 https://t.co/Cx5ETpXFM0"""
963868455333236737,2018-02-14 20:12:02,"b""#Botswana's central bank maintains rate on positive inflation outlook https://t.co/qdPwAWPOyy"""
963868452317523969,2018-02-14 20:12:01,"b""#Uganda's central bank cuts rate by another 50 bps to strengthen growth https://t.co/ZzybbEptZs"""
963868449226285057,2018-02-14 20:12:00,b'#Kenya: Mobile transactions rose Sh283.37 billion up to December https://t.co/Wqu5fLWULM'
963342068188925952,2018-02-13 09:20:21,b'RT @MeTL_Group: Dar es Salaam Stock Exchange share indices closed down last week after almost all listed companies remains flat. DSE index\xe2\x80\xa6'
963173880553762817,2018-02-12 22:12:02,b'7-Up seeks regulatory approval to delist from Nigerian Stock Exchange https://t.co/Gk7wLqn8lG'
