id,created_at,text
965874446224502784,2018-02-20 09:03:07,b'Raila na Miguna Miguna warukiana https://t.co/1olKu7IIFG https://t.co/9jI47TcNYH'
965873135827521537,2018-02-20 08:57:55,b'HIVI PUNDE: Serikali yamrudishia Jimi Wanjigi paspoti baada ya mahangaiko  katika uwanja wa ndege wa JKIA jana usik\xe2\x80\xa6 https://t.co/qJU8l6isHv'
965861634576125952,2018-02-20 08:12:13,b'Yafichuka gaidi alikodi chumba Nairobi karibu na Kituo cha Polisi cha Central https://t.co/yEgzgYsY4c https://t.co/j00tCApVgu'
965843526582964224,2018-02-20 07:00:15,b'ADUNGO: Hakika mtu yeyote anayetaka kushabikia Arsenal sharti awe na moyo wa chuma https://t.co/hD0K5pPv2T'
965828414073704448,2018-02-20 06:00:12,b'ONYANGO: Uhuru akifaulisha Ajenda 4 Kuu atakumbukwa zaidi https://t.co/867uwhDrjE https://t.co/HEJzofdb4P'
965820842151202816,2018-02-20 05:30:07,"b'MOKAYA: Alexis Sanchez ni mzigo kwa Man United, hana maana https://t.co/aDx93HxKy1 https://t.co/srKO0yZ5FC'"
965817638277574656,2018-02-20 05:17:23,b'Polisi katika eneo la Kobujoi kaunti ya Nandi watamzuilia baba anayeshukiwa kuua mtoto wake wa kike wa umri wa miak\xe2\x80\xa6 https://t.co/5vXEqYWfp6'
965813313908170752,2018-02-20 05:00:12,"b'OBARA: Tusidanganyane, Kenya haitapata mageuzi hivi karibuni https://t.co/fI5vGaECUM https://t.co/pDQzbVtWW0'"
965798219874754560,2018-02-20 04:00:13,b'Wakenya waliodhulumiwa na serikali wajitokeze \xe2\x80\x93 LSK https://t.co/hOjPc8UxSm https://t.co/v7Di8nRgri'
965790647063105536,2018-02-20 03:30:08,b'Sanchez hatarini kutemwa kwa kumezea mwanachuo https://t.co/o2KcrYd1oK https://t.co/4bi09halZV'
965783114990735360,2018-02-20 03:00:12,"b'Baada ya kuibiwa simu jijini, Dida sasa amtaka Uhuru amheshimu Raila https://t.co/YtNSbi7oEI'"
965669867058860032,2018-02-19 19:30:12,b'Manusura akejeli Trump kwa kuzembea kudhibiti umiliki wa bunduki https://t.co/yJes4l82WM https://t.co/DN2Tf7HwLh'
965662366707998722,2018-02-19 19:00:24,b'Waziri wa Ulinzi Ethiopia akana tetesi jeshi limetwaa mamlaka https://t.co/pKP9Qi54IF https://t.co/zqRffT0kU6'
965647297701924866,2018-02-19 18:00:31,b'Jombi alaumu mama mkwe akidai amemfilisisha https://t.co/zXkmQLR0ND https://t.co/ZxJFbSNafW'
965638313448235008,2018-02-19 17:24:49,b'Amekuwa ulingoni mwaka mmoja tu lakini kaanza kubabaisha miamba wa bongo. Changamka nasi katika mapozi jarida la wa\xe2\x80\xa6 https://t.co/N2ahjLDQGv'
