id,created_at,text
963699363695472641,2018-02-14 09:00:07,"b'#AgainstTheOdds with @peac_hy talks to former SA Public Protector, Prof @ThuliMadonsela3, on why she chose to defen\xe2\x80\xa6 https://t.co/NEqkq2PFH8'"
962959579675090944,2018-02-12 08:00:29,"b'#AgainstTheOdds with @peac_hy talks to former SA Public Protector, Prof @ThuliMadonsela3, on why she chose to defen\xe2\x80\xa6 https://t.co/rqyIIAp4SZ'"
961901745478750214,2018-02-09 09:57:02,b'African born entrepreneur @ElonMusk wowed millions of people with the flawless first launch of SpaceX\xe2\x80\x99s Falcon Heav\xe2\x80\xa6 https://t.co/y51pLthOlP'
961638431481913345,2018-02-08 16:30:43,"b'#AgainstTheOdds with @peac_hy talks to former SA Public Protector, Prof @ThuliMadonsela3, on why she chose to defen\xe2\x80\xa6 https://t.co/5t2Qj8xhcA'"
961574558871453696,2018-02-08 12:16:54,"b""RT @cnbcafrica: #AgainstTheOdds w/@peac_hy talks to one of South Africa's fiercest public protectors, @ThuliMadonsela3, on why she went aft\xe2\x80\xa6"""
961573980380565504,2018-02-08 12:14:36,"b""RT @rickiwahi: A pleasure to meet #Ghana's Minister of Finance, Honorable Ken Ofari-Atta in #Accra this morning. Great plans for one of #Af\xe2\x80\xa6"""
961573916748800000,2018-02-08 12:14:21,"b'RT @olusegunmamora: Here in west Africa, I read @forbesafrica . Go get yours now! https://t.co/MnO4aZta8w'"
961551455579725825,2018-02-08 10:45:06,"b'Forbes\xe2\x80\x99 First List Of Cryptocurrency\xe2\x80\x99s Richest People: Meet The Secretive Freaks, Geeks And Visionaries\xe2\x80\xa6 https://t.co/aiIzgKWNAN'"
961525359832428544,2018-02-08 09:01:24,b'RT @ForbesWomanAfri: Prof @ThuliMadonsela3 was one of the 11 technical experts who helped the Constitutional Assembly draft the final const\xe2\x80\xa6'
961525142097743872,2018-02-08 09:00:32,b'RT @METHILRENUKA: One of my favorites in the Feb issue of @forbesafrica is the story on the entrepreneurs who make a living cleaning up cri\xe2\x80\xa6'
961525002943320064,2018-02-08 08:59:59,b'RT @rickiwahi: Great being back in the office. Had a chance to present the @forbesafrica @ForbesWomanAfri annual binder to senior team pres\xe2\x80\xa6'
961524893807456256,2018-02-08 08:59:33,"b'RT @METHILRENUKA: What Nigerian multi-millionaire Cosmas Maduka learned from his trips to the land of the rising sun, and that helped his b\xe2\x80\xa6'"
961524859741396995,2018-02-08 08:59:25,b'RT @peac_hy: ...Congrats @METHILRENUKA! West Africa can\xe2\x80\x99t wait for this @forbesafrica February issue!... #SuperProudMoment\xe2\x9c\xa8 https://t.co/xv\xe2\x80\xa6'
961198974756622336,2018-02-07 11:24:28,"b'Buffett, Zuckerberg &amp; Bezos Lose Billions As Dow Drops Over 1,000 Points https://t.co/gdD8VU3XJl https://t.co/6uuFkSXjcB'"
959450154175811584,2018-02-02 15:35:17,"b'On this year\xe2\x80\x99s first episode of #ForbesAfricaNow with @LubbahMash: #Capitec vs #Viceroy, #Steinhoff reports former\xe2\x80\xa6 https://t.co/3Hs5gp038Z'"
959442419375800321,2018-02-02 15:04:33,b'RT @rickiwahi: Proud to see group synergies develop between the teams of #ABNGroup (@cnbcafrica @abnproductions @forbesafrica ) &amp; @TAGroupG\xe2\x80\xa6'
959056220471595008,2018-02-01 13:29:56,"b'African Billionaire Fortunes Rise - Two new billionaires join the ranks of Africa\xe2\x80\x99s richest, with 23 tycoons now ha\xe2\x80\xa6 https://t.co/HZwMmA9EEf'"
959012881311387648,2018-02-01 10:37:43,"b""RT @METHILRENUKA: Beautiful evening in immaculate green Kigali talking Africa's future in science with a member of the Next Einstein Forum\xe2\x80\xa6"""
959012341689044992,2018-02-01 10:35:34,"b'RT @nafisa1: \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd Congratulations on your first issue of @forbesafrica @METHILRENUKA! Love your ed\xe2\x80\x99s note, and thank you for the opportunity\xe2\x80\xa6'"
959012118786912256,2018-02-01 10:34:41,b'RT @rickiwahi: Feb 2018 issue of @forbesafrica just off the press. Some great articles &amp; the Africa billionaires list. Well done @METHILREN\xe2\x80\xa6'
958265048870408192,2018-01-30 09:06:06,b'The Fortune And Fury Behind Nollywood https://t.co/2Iqzp8BQm9 https://t.co/ZPeQn9nL4D'
957926625940791296,2018-01-29 10:41:19,"b'The War Cameraman Who Saw Gold In Shells - How Brian Green went from dodging bullets and artillery shells, to turni\xe2\x80\xa6 https://t.co/gGCVZLl8Bm'"
956829239470362624,2018-01-26 10:00:42,b'Meet The Young Robotics Entrepreneur Who Got A Dream Deal With Apple https://t.co/z2xCmzFgyd https://t.co/kMCvsKYVWy'
956557581559980032,2018-01-25 16:01:14,b'Four Skills to Make Yourself Robot and Recession-Proof https://t.co/d7Pw9iQgbX https://t.co/WzwlwO4r8Y'
955737887034822656,2018-01-23 09:44:03,b'Legendary Hugh Masekela Has Died https://t.co/HgZyhZCTcR https://t.co/kf9YIMAKJ5'
952565472905584641,2018-01-14 15:38:01,"b""[WATCH] 2018 @forbesafrica's rich list https://t.co/dttYVjypvI for more get your copy of @forbesafrica in February"""
952052089928155138,2018-01-13 05:38:01,"b""[WATCH] 2018 @forbesafrica's rich list https://t.co/dttYVjypvI for more get your copy of @forbesafrica in February"""
951448125830500352,2018-01-11 13:38:04,"b""[WATCH] 2018 @forbesafrica's rich list https://t.co/dttYVjypvI for more get your copy of @forbesafrica in February"""
951038441038532608,2018-01-10 10:30:08,b'See why interest and investment levels in the country are on the rise in the December/January issue of\xe2\x80\xa6 https://t.co/2Ybqm90NsS'
950768411172397059,2018-01-09 16:37:08,"b""Don't miss this exclusive interview with Uganda\xe2\x80\x99s First Lady @JanetMuseveni,  as @forbesafrica's editor\xe2\x80\xa6 https://t.co/rL2bIa98S6"""
943505492185403392,2017-12-20 15:36:53,b'@johnniewalker_ calls on South Africans to pledge and #strideforgood https://t.co/UizwfPLmDa https://t.co/MOS8RpTjXe'
941261592985047040,2017-12-14 11:00:26,b'The 25 Highest-Paid Athletes Of All Time https://t.co/rGPGCTqMeF https://t.co/yN8zkefCpN'
940463228018098176,2017-12-12 06:08:01,"b""Create an abuse-free society, one you would want to live in, here's how: https://t.co/UizwfPLmDa #strideforgood"""
940238245081870336,2017-12-11 15:14:01,b'What FirstRand will do if Billionaire Christo Wiese &amp; Steinhoff are shown to be corrupt https://t.co/IeH4aHIrId'
940221636166475776,2017-12-11 14:08:01,"b""Create an abuse-free society, one you would want to live in, here's how: https://t.co/UizwfPLmDa #strideforgood"""
937717643162869761,2017-12-04 16:18:02,"b""Tonight at 7pm CAT on @cnbcafrica, @Discovery_SA's CEO and co-founder Adrian Gore shares insights on the emergence\xe2\x80\xa6 https://t.co/xUr0TI0NkM"""
937706589364146176,2017-12-04 15:34:07,"b""Tonight at 7pm CAT on @cnbcafrica, @Discovery_SA's CEO and co-founder Adrian Gore shares insights on the emergence\xe2\x80\xa6 https://t.co/PjZyGL42tr"""
937660349041594371,2017-12-04 12:30:22,"b'This week on #ForbesAfricaNow with @LubbahMash: @ProVerbMusic on career &amp; money lessons, SA downgrades &amp; the price\xe2\x80\xa6 https://t.co/v6sQCvKevd'"
936590189845209088,2017-12-01 13:37:56,"b'A Maverick In Rude Health - How Adrian Gore went from delivering cigarettes, healthcare &amp; now a bank\xe2\x80\xa6 https://t.co/6XOKzq2lLk'"
936308935375585280,2017-11-30 19:00:20,b'Are you looking for an insurance company that speaks to your needs and could save you R475 a month? Try\xe2\x80\xa6 https://t.co/79zSVOLhTK'
936233400318427136,2017-11-30 14:00:11,b'Manage your wealth &amp; discover your path to financial freedom in Africa with @StanChart https://t.co/yiG50ntMcP https://t.co/Fq5PxUTUlE'
936210717040173056,2017-11-30 12:30:03,"b'Manage your assets with the continent\xe2\x80\x99s investment experts, who share their on-the-ground insights into Africa\xe2\x80\x99s ho\xe2\x80\xa6 https://t.co/Z0glsPsJJl'"
936195615171760128,2017-11-30 11:30:02,"b""Learn from Africa's richest on wealth creation. @forbesafrica &amp; @StanChart looks at how Africa's dollar billionaire\xe2\x80\xa6 https://t.co/6vLJ5T4uAE"""
936184410503860224,2017-11-30 10:45:31,b'The Grounded Super Eagle Who Wants To Fly To The Next World Cup https://t.co/5vSkXDxqyz https://t.co/UhbX4IP3K9'
936101236272713728,2017-11-30 05:15:01,"b'Jumping The Corporate Ship, Is Entrepreneurship The Answer? https://t.co/EHbz3yj15e'"
935854158825050113,2017-11-29 12:53:13,b'RT @Olwe2Lesh: We\xe2\x80\x99ve got to improve the turnaround times of approving programmes. -Mymoena Ismail #FOESummit2017'
935854132937846784,2017-11-29 12:53:07,b'RT @The_Woman_CEO: \xe2\x80\x9cThere should not be a dichotomy between private and public education. We here for the same reasons.\xe2\x80\x9d - Professor Ketham\xe2\x80\xa6'
935854089015087104,2017-11-29 12:52:56,b'RT @Yenush: There is the need to improve the turnaround time for accreditation of programs at the CHE- Kethamonie Naidoo CHE #FOESummit2017\xe2\x80\xa6'
935854066399350784,2017-11-29 12:52:51,"b""RT @AfriMaisha1: We currently have a mismatch of skills required and the number of graduates that can't find jobs...need to align so that w\xe2\x80\xa6"""
935851370682437633,2017-11-29 12:42:08,b'RT @VCMarkESmith: SA HE minister @ProfMkhize comments #FOEsummit2017 means she is grappling with financial sustainability- same problem the\xe2\x80\xa6'
935851233121796098,2017-11-29 12:41:35,"b'We are saying to institutions, you tell what your model looks &amp; why - Prof Naidoo #FOESummit2017'"
935849736313196544,2017-11-29 12:35:39,"b""You don't have to establish a university, you can invest on what's already there #FOESummit2017"""
935849522579869696,2017-11-29 12:34:48,b'We cannot take shortcuts on accreditation #FOESummit2017'
935849021536636929,2017-11-29 12:32:48,"b""It's not about producing graduates with degrees or diplomas. It's about producing graduates who can think critically #FOESummit2017"""
935848824630804481,2017-11-29 12:32:01,b'RT @Olwe2Lesh: Panel on The Impact of Regulationand Policy on Higher Education\nPanel chaired by @bronwynnielsen \n#FOESummit2017 https://t.c\xe2\x80\xa6'
935848717344825344,2017-11-29 12:31:36,"b'RT @Monash_SA: The final panel discussion of the day has begun, with a focus on The Impact of Regulation and Policy on Higher Education. #F\xe2\x80\xa6'"
935848687431020544,2017-11-29 12:31:28,b'RT @abnproductions: Final #FOESummit2017 panel discussion today on regulation and policy on higher education hosted by @bronwynnielsen. htt\xe2\x80\xa6'
