id,created_at,text
966208327679184898,2018-02-21 07:09:51,Neno la siku: NGOME https://t.co/EUMbegRPyZ
966205919460814848,2018-02-21 07:00:17,Pigo kwa Gavana baada ya mahakama kumpokonya ushindi https://t.co/ogK9iLEUMM https://t.co/EPrVtAG8KI
966198229346979842,2018-02-21 06:29:43,"Naogopa kusimama kizimbani katika mahakama za Kenya, Raia wa Uchina asema https://t.co/LLIhIG851N"
966190804082593792,2018-02-21 06:00:13,Bei ghali ya mafuta kupandisha gharama ya maisha https://t.co/kHQNvSFzrg https://t.co/eqfY646R7f
966175696384086017,2018-02-21 05:00:11,"Atwoli anagawanya jamii ya Abaluhya, aonya Wetang’ula https://t.co/d7Y7QTrtdj https://t.co/zYeEk5q1OS"
966160596751314945,2018-02-21 04:00:11,"Sishuki hapa bila chai, mahabusu awahangaisha askari https://t.co/RbgiUXhxx9 https://t.co/vtwQLTEeWZ"
966145507369279488,2018-02-21 03:00:13,"Miguna Miguna alikuwa hatari kwa usalama wa nchi, mahakama yaambiwa https://t.co/aE9KdUU2S8 https://t.co/reeIuBUoHM"
966130435947364354,2018-02-21 02:00:20,Hali ya hatari nchini Ethiopia kudumu kwa miezi sita ijayo https://t.co/gxCcACw6VG https://t.co/lRCoNx9tBW
966122840050274305,2018-02-21 01:30:09,Mkaguzi mkuu sasa yuko huru kukagua hesabu za KDF https://t.co/tkUYyx2r5N
966115331721826304,2018-02-21 01:00:19,IEBC yasema inahitaji Sh8 bilioni kutathmini upya mipaka https://t.co/BmC8rfLejY https://t.co/uQqZixZeSR
966047357828780032,2018-02-20 20:30:13,Bwanyenye akana mashtaka mapya https://t.co/oKjXLpOkK4
966039875261812736,2018-02-20 20:00:29,KRA yapoteza mabilioni kutokana na bidhaa ghushi https://t.co/og8HTq59GR
966024757480181761,2018-02-20 19:00:24,Ndege nne za Jambojet kuimarisha safari Afrika https://t.co/yL2N1ucsLr
966019938786922496,2018-02-20 18:41:15,Wanasaikolojia wanasema kuwa baadhi ya wanawake huwafanya wanaume hao kuweka vimada kwa kutojua kulinda mapenzi. Je… https://t.co/Aw7KGdScjG
966017153731264514,2018-02-20 18:30:11,"KCB, Equity na Co-operative zashushwa na Moody’s https://t.co/IfSwsHF62k"
966009650016550913,2018-02-20 18:00:22,"NYS yapewa ekari 100,000 kukuza pamba Galana-Kulalu https://t.co/91DGFl4aRF https://t.co/JTSIONYJZ6"
966002054610276352,2018-02-20 17:30:11,"Miguna Miguna arudishwe nchini, mahakama yaamuru https://t.co/dbdNkal4WC https://t.co/vI3Y9JKuM0"
965994552736862209,2018-02-20 17:00:23,Yatima asukumwa rumande kuhusu wizi wa Sh2.5 milioni https://t.co/Ep0847aud3 https://t.co/C4Ga4p4juQ
965986958085361664,2018-02-20 16:30:12,Omtatah amletea matata wakili Ogeto https://t.co/5nXzFYYoaM https://t.co/gYKhHBRowA
965979435563446273,2018-02-20 16:00:19,Wawili wakana kuiba Sh50 milioni hospitali ya Mater https://t.co/V3laFvEZ4D https://t.co/eQHyLFvMND
965971846611992582,2018-02-20 15:30:09,Rais hafai kukosolewa akiteua mawaziri – Mahakama https://t.co/ONooV4oEdY https://t.co/RfMLZpirdm
965964335272120320,2018-02-20 15:00:18,Juhudi za Kenya kununua ndege za kijeshi zagonga mwamba https://t.co/hyV1VdAnxa https://t.co/JQiSZm7xhp
965956771218186241,2018-02-20 14:30:15,Watu 10 wanaswa kwenye msako dhidi ya karatasi za plastiki https://t.co/cEI08hNIVt https://t.co/qkQF9lczXI
965949259496468481,2018-02-20 14:00:24,Tobiko aanza kazi kwa kuonya wafanyabiashara haramu wakatao miti https://t.co/d2lomt8SA3 https://t.co/POfRL1J5Xo
965941659195371521,2018-02-20 13:30:12,Chanzo cha uskwota Pwani ni unyakuzi wa ardhi – Ripoti  https://t.co/CAo5TgMS76 https://t.co/GOwq3jwZL4
965919032603004929,2018-02-20 12:00:17,Jeshi latoa ahadi ya kusajili wanawake zaidi siku zijazo https://t.co/WmnNJAvDlj https://t.co/Vbz4uO7XPB
